aarono	a a r o n o
abadono	a b a d o n o
abajo	a b a j o
abako	a b a k o
abakteria	a b a k t e r i a
abandoni	a b a n d o n i
abandonismo	a b a n d o n i s m o
abateco	a b a t e t͡s o
abatejo	a b a t e j o
abatino	a b a t i n o
abatiso	a b a t i s o
abato	a b a t o
abazio	a b a z i o
abaĵuro	a b a ʒ u r o
abdikato	a b d i k a t o
abdiki	a b d i k i
abdomeno	a b d o m e n o
abduktoro	a b d u k t o r o
abelejo	a b e l e j o
abelisto	a b e l i s t o
abelkesto	a b e l k e s t o
abelmanĝulo	a b e l m a n d͡ʒ u l o
abelreĝino	a b e l r e d͡ʒ i n o
abelsvarmo	a b e l s v a r m o
abelujo	a b e l u j o
abelvakso	a b e l v a k s o
aberacio	a b e r a t͡s i o
abiaro	a b i a r o
abio	a b i o
abismo	a b i s m o
ablativo	a b l a t i v o
abnegacii	a b n e ɡ a t͡s i i
abnegacio	a b n e ɡ a t͡s i o
aboco	a b o t͡s o
aboli	a b o l i
abolicii	a b o l i t͡s i i
aboliciismo	a b o l i t͡s i i s m o
aboliciisto	a b o l i t͡s i i s t o
abolicio	a b o l i t͡s i o
abolismo	a b o l i s m o
abolo	a b o l o
abomena	a b o m e n a
abomenato	a b o m e n a t o
abomenaĵo	a b o m e n a ʒ o
abomeni	a b o m e n i
abomeninda	a b o m e n i n d a
abomeno	a b o m e n o
abomenulo	a b o m e n u l o
abonato	a b o n a t o
abonejo	a b o n e j o
aboni	a b o n i
abonilo	a b o n i l o
abono	a b o n o
aborigeno	a b o r i ɡ e n o
abortado	a b o r t a d o
abortato	a b o r t a t o
abortaĵo	a b o r t a ʒ o
abortema	a b o r t e m a
aborti	a b o r t i
abortigilo	a b o r t i ɡ i l o
abortigisto	a b o r t i ɡ i s t o
abortitaĵo	a b o r t i t a ʒ o
aborto	a b o r t o
abrahamo	a b r a h a m o
abrahamon	a b r a h a m o n
abrikotujo	a b r i k o t u j o
abrupteco	a b r u p t e t͡s o
absciso	a b s t͡s i s o
absido	a b s i d o
absintaĵo	a b s i n t a ʒ o
absoluta	a b s o l u t a
absolutismo	a b s o l u t i s m o
absoluto	a b s o l u t o
absorba	a b s o r b a
absorbaj	a b s o r b a j
absorbajn	a b s o r b a j n
absorban	a b s o r b a n
absorbas	a b s o r b a s
absorbato	a b s o r b a t o
absorbi	a b s o r b i
absorbilo	a b s o r b i l o
absorbilojn	a b s o r b i l o j n
absorbilon	a b s o r b i l o n
absorbiĝi	a b s o r b i d͡ʒ i
absorbo	a b s o r b o
absorbos	a b s o r b o s
absorbu	a b s o r b u
absorbus	a b s o r b u s
abstinado	a b s t i n a d o
abstinenculo	a b s t i n e n t͡s u l o
abstini	a b s t i n i
abstraktaĵo	a b s t r a k t a ʒ o
abstrakteco	a b s t r a k t e t͡s o
absurdaĵo	a b s u r d a ʒ o
abunda	a b u n d a
abunde	a b u n d e
abundeco	a b u n d e t͡s o
abundi	a b u n d i
abundo	a b u n d o
abutmento	a b u t m e n t o
abuĝo	a b u d͡ʒ o
abuĝon	a b u d͡ʒ o n
abĥaze	a b x a z e
abĥazino	a b x a z i n o
abĥazo	a b x a z o
abĥazujo	a b x a z u j o
abĥazujon	a b x a z u j o n
abĵuri	a b ʒ u r i
acero	a t͡s e r o
acetaldehido	a t͡s e t a l d e h i d o
acetanilido	a t͡s e t a n i l i d o
acetileno	a t͡s e t i l e n o
acetilkolino	a t͡s e t i l k o l i n o
acetilo	a t͡s e t i l o
acetilĥolino	a t͡s e t i l x o l i n o
acetono	a t͡s e t o n o
acida	a t͡s i d a
acideco	a t͡s i d e t͡s o
acidigi	a t͡s i d i ɡ i
acido	a t͡s i d o
acipensero	a t͡s i p e n s e r o
ada	a d a
adamon	a d a m o n
adamstaŭno	a d a m s t a w n o
adaptado	a d a p t a d o
adaptato	a d a p t a t o
adapti	a d a p t i
adaptilo	a d a p t i l o
adaptiĝi	a d a p t i d͡ʒ i
adaptiĝis	a d a p t i d͡ʒ i s
adaptiĝonta	a d a p t i d͡ʒ o n t a
adaptiĝu	a d a p t i d͡ʒ u
adaptiĝus	a d a p t i d͡ʒ u s
adasismo	a d a s i s m o
adelajdo	a d e l a j d o
adenino	a d e n i n o
adenito	a d e n i t o
adeno	a d e n o
adenomo	a d e n o m o
adenon	a d e n o n
adeptaro	a d e p t a r o
adeptigantaj	a d e p t i ɡ a n t a j
adeptigantajn	a d e p t i ɡ a n t a j n
adeptigintaj	a d e p t i ɡ i n t a j
adeptigintajn	a d e p t i ɡ i n t a j n
adheri	a d h e r i
adiaŭ	a d i a w
adiaŭi	a d i a w i
adiciato	a d i t͡s i a t o
adicii	a d i t͡s i i
adiciilo	a d i t͡s i i l o
adjektivo	a d j e k t i v o
adjudiki	a d j u d i k i
adjudiko	a d j u d i k o
adjunkto	a d j u n k t o
administracio	a d m i n i s t r a t͡s i o
administrado	a d m i n i s t r a d o
administrantaj	a d m i n i s t r a n t a j
administrantajn	a d m i n i s t r a n t a j n
administrantaro	a d m i n i s t r a n t a r o
administrato	a d m i n i s t r a t o
administraĵo	a d m i n i s t r a ʒ o
administrejo	a d m i n i s t r e j o
admirado	a d m i r a d o
admiralejo	a d m i r a l e j o
admiralitato	a d m i r a l i t a t o
admiralo	a d m i r a l o
admirato	a d m i r a t o
admire	a d m i r e
admirego	a d m i r e ɡ o
admirinda	a d m i r i n d a
admiro	a d m i r o
admonado	a d m o n a d o
admoni	a d m o n i
admono	a d m o n o
adoleski	a d o l e s k i
adoleskulo	a d o l e s k u l o
adolteco	a d o l t e t͡s o
adoptato	a d o p t a t o
adoptito	a d o p t i t o
adorado	a d o r a d o
adorato	a d o r a t o
adorejo	a d o r e j o
adori	a d o r i
adorinda	a d o r i n d a
adorkliniĝi	a d o r k l i n i d͡ʒ i
adoro	a d o r o
adresaro	a d r e s a r o
adreslibro	a d r e s l i b r o
adresulo	a d r e s u l o
adultulino	a d u l t u l i n o
adultulo	a d u l t u l o
